brandname,dateoftransaction,count
Century Theatres,2020-10-09,8
Champion,2020-10-09,79
Chewy,2020-10-09,43
Fatburger,2020-10-09,49
Janie And Jack,2020-10-09,64
Air New Zealand,2020-10-10,3
Century Theatres,2020-10-10,7
Champion,2020-10-10,139
Chewy,2020-10-10,48
Fatburger,2020-10-10,98
Janie And Jack,2020-10-10,94
Air New Zealand,2020-10-11,4
Century Theatres,2020-10-11,1
Champion,2020-10-11,60
Chewy,2020-10-11,14
Fatburger,2020-10-11,31
Janie And Jack,2020-10-11,41
Champion,2020-10-12,16
Chewy,2020-10-12,2
Fatburger,2020-10-12,6
Janie And Jack,2020-10-12,7
Air New Zealand,2020-10-13,2
Century Theatres,2020-10-13,7
Champion,2020-10-13,69
Chewy,2020-10-13,69
Fatburger,2020-10-13,58
Janie And Jack,2020-10-13,45
Air New Zealand,2020-10-14,1
Century Theatres,2020-10-14,3
Champion,2020-10-14,31
Chewy,2020-10-14,27
Fatburger,2020-10-14,56
Janie And Jack,2020-10-14,41
Air New Zealand,2020-10-15,3
Century Theatres,2020-10-15,2
Champion,2020-10-15,23
Chewy,2020-10-15,26
Fatburger,2020-10-15,26
Janie And Jack,2020-10-15,24
Air New Zealand,2020-10-16,1
Century Theatres,2020-10-16,23
Champion,2020-10-16,137
Chewy,2020-10-16,35
Fatburger,2020-10-16,114
Janie And Jack,2020-10-16,95
Air New Zealand,2020-10-17,1
Century Theatres,2020-10-17,5
Champion,2020-10-17,37
Chewy,2020-10-17,7
Fatburger,2020-10-17,37
Janie And Jack,2020-10-17,48
Century Theatres,2020-10-18,1
Champion,2020-10-18,32
Chewy,2020-10-18,24
Fatburger,2020-10-18,19
Janie And Jack,2020-10-18,14
Air New Zealand,2020-10-19,1
Century Theatres,2020-10-19,3
Champion,2020-10-19,61
Chewy,2020-10-19,58
Fatburger,2020-10-19,61
Janie And Jack,2020-10-19,59
Century Theatres,2020-10-20,2
Champion,2020-10-20,35
Chewy,2020-10-20,15
Fatburger,2020-10-20,50
Janie And Jack,2020-10-20,18
Air New Zealand,2020-10-21,2
Century Theatres,2020-10-21,4
Champion,2020-10-21,64
Chewy,2020-10-21,25
Fatburger,2020-10-21,46
Janie And Jack,2020-10-21,67
Century Theatres,2020-10-22,28
Champion,2020-10-22,75
Chewy,2020-10-22,70
Fatburger,2020-10-22,81
Janie And Jack,2020-10-22,72
Century Theatres,2020-10-23,4
Champion,2020-10-23,52
Chewy,2020-10-23,26
Fatburger,2020-10-23,51
Janie And Jack,2020-10-23,34
Air New Zealand,2020-10-24,1
Century Theatres,2020-10-24,15
Champion,2020-10-24,72
Chewy,2020-10-24,31
Fatburger,2020-10-24,62
Janie And Jack,2020-10-24,75
Century Theatres,2020-10-25,4
Champion,2020-10-25,58
Chewy,2020-10-25,19
Fatburger,2020-10-25,102
Janie And Jack,2020-10-25,42
Century Theatres,2020-10-26,2
Champion,2020-10-26,56
Chewy,2020-10-26,15
Fatburger,2020-10-26,35
Janie And Jack,2020-10-26,39
Century Theatres,2020-10-27,3
Champion,2020-10-27,64
Chewy,2020-10-27,25
Fatburger,2020-10-27,36
Janie And Jack,2020-10-27,33
Air New Zealand,2020-10-28,2
Century Theatres,2020-10-28,3
Champion,2020-10-28,58
Chewy,2020-10-28,31
Fatburger,2020-10-28,73
Janie And Jack,2020-10-28,49
Century Theatres,2020-10-29,5
Champion,2020-10-29,105
Chewy,2020-10-29,27
Air New Zealand,2020-10-29,1
Fatburger,2020-10-29,72
Janie And Jack,2020-10-29,65
Century Theatres,2020-10-30,6
Champion,2020-10-30,59
Chewy,2020-10-30,34
Fatburger,2020-10-30,90
Janie And Jack,2020-10-30,55
Air New Zealand,2020-10-31,304
Champion,2020-10-31,157
Chewy,2020-10-31,59
Fatburger,2020-10-31,404
Janie And Jack,2020-10-31,280
Century Theatres,2020-10-31,378
Century Theatres,2020-11-01,2
Champion,2020-11-01,40
Chewy,2020-11-01,11
Fatburger,2020-11-01,33
Janie And Jack,2020-11-01,34
Air New Zealand,2020-11-02,2
Century Theatres,2020-11-02,4
Champion,2020-11-02,65
Fatburger,2020-11-02,38
Janie And Jack,2020-11-02,46
Chewy,2020-11-02,42
Air New Zealand,2020-11-03,221
Century Theatres,2020-11-03,479
Champion,2020-11-03,147
Chewy,2020-11-03,55
Fatburger,2020-11-03,534
Janie And Jack,2020-11-03,306
Air New Zealand,2020-11-04,58
Century Theatres,2020-11-04,88
Chewy,2020-11-04,46
Fatburger,2020-11-04,198
Janie And Jack,2020-11-04,203
Champion,2020-11-04,182
Air New Zealand,2020-11-05,16
Century Theatres,2020-11-05,41
Champion,2020-11-05,153
Chewy,2020-11-05,19
Fatburger,2020-11-05,134
Janie And Jack,2020-11-05,127
Air New Zealand,2020-11-06,208
Century Theatres,2020-11-06,101
Champion,2020-11-06,161
Chewy,2020-11-06,89
Fatburger,2020-11-06,203
Janie And Jack,2020-11-06,136
Air New Zealand,2020-11-07,21
Century Theatres,2020-11-07,6
Champion,2020-11-07,186
Chewy,2020-11-07,52
Fatburger,2020-11-07,145
Janie And Jack,2020-11-07,155
Air New Zealand,2020-11-08,1
Century Theatres,2020-11-08,3
Chewy,2020-11-08,19
Champion,2020-11-08,56
Fatburger,2020-11-08,40
Janie And Jack,2020-11-08,21
Air New Zealand,2020-11-09,1
Champion,2020-11-09,59
Chewy,2020-11-09,4
Fatburger,2020-11-09,27
Janie And Jack,2020-11-09,32
Century Theatres,2020-11-10,2
Champion,2020-11-10,25
Chewy,2020-11-10,84
Fatburger,2020-11-10,44
Janie And Jack,2020-11-10,38
Air New Zealand,2020-11-10,2
Century Theatres,2020-11-11,11
Chewy,2020-11-11,31
Fatburger,2020-11-11,82
Janie And Jack,2020-11-11,72
Champion,2020-11-11,75
Air New Zealand,2020-11-12,2
Century Theatres,2020-11-12,6
Champion,2020-11-12,135
Chewy,2020-11-12,47
Fatburger,2020-11-12,66
Janie And Jack,2020-11-12,96
Air New Zealand,2020-11-13,19
Century Theatres,2020-11-13,12
Champion,2020-11-13,158
Chewy,2020-11-13,52
Fatburger,2020-11-13,176
Janie And Jack,2020-11-13,113
Century Theatres,2020-11-14,2
Champion,2020-11-14,78
Chewy,2020-11-14,44
Air New Zealand,2020-11-14,5
Fatburger,2020-11-14,100
Janie And Jack,2020-11-14,80
Century Theatres,2020-11-15,3
Champion,2020-11-15,55
Chewy,2020-11-15,7
Fatburger,2020-11-15,32
Janie And Jack,2020-11-15,44
Air New Zealand,2020-11-16,2
Champion,2020-11-16,36
Chewy,2020-11-16,56
Fatburger,2020-11-16,20
Janie And Jack,2020-11-16,25
Century Theatres,2020-11-16,5
Air New Zealand,2020-11-17,4
Century Theatres,2020-11-17,5
Champion,2020-11-17,141
Chewy,2020-11-17,39
Fatburger,2020-11-17,146
Janie And Jack,2020-11-17,128
Air New Zealand,2020-11-18,14
Century Theatres,2020-11-18,17
Champion,2020-11-18,74
Chewy,2020-11-18,58
Fatburger,2020-11-18,151
Janie And Jack,2020-11-18,96
Air New Zealand,2020-11-19,5
Century Theatres,2020-11-19,14
Chewy,2020-11-19,54
Fatburger,2020-11-19,168
Champion,2020-11-19,193
Janie And Jack,2020-11-19,150
Air New Zealand,2020-11-20,9
Century Theatres,2020-11-20,17
Chewy,2020-11-20,41
Fatburger,2020-11-20,131
Janie And Jack,2020-11-20,122
Champion,2020-11-20,109
Air New Zealand,2020-11-21,7
Century Theatres,2020-11-21,16
Champion,2020-11-21,103
Chewy,2020-11-21,44
Fatburger,2020-11-21,91
Janie And Jack,2020-11-21,90
Champion,2020-11-22,54
Chewy,2020-11-22,16
Fatburger,2020-11-22,24
Janie And Jack,2020-11-22,34
Air New Zealand,2020-11-23,2
Century Theatres,2020-11-23,1
Champion,2020-11-23,54
Chewy,2020-11-23,22
Fatburger,2020-11-23,55
Janie And Jack,2020-11-23,23
Air New Zealand,2020-11-24,2
Century Theatres,2020-11-24,6
Champion,2020-11-24,55
Chewy,2020-11-24,43
Fatburger,2020-11-24,101
Janie And Jack,2020-11-24,72
Century Theatres,2020-11-25,1
Champion,2020-11-25,33
Chewy,2020-11-25,26
Fatburger,2020-11-25,19
Janie And Jack,2020-11-25,31
Air New Zealand,2020-11-26,2
Champion,2020-11-26,127
Chewy,2020-11-26,13
Century Theatres,2020-11-26,5
Fatburger,2020-11-26,70
Janie And Jack,2020-11-26,88
Air New Zealand,2020-11-27,3
Century Theatres,2020-11-27,4
Chewy,2020-11-27,15
Champion,2020-11-27,84
Fatburger,2020-11-27,82
Janie And Jack,2020-11-27,71
Century Theatres,2020-11-28,1
Champion,2020-11-28,43
Chewy,2020-11-28,12
Fatburger,2020-11-28,52
Janie And Jack,2020-11-28,37
Air New Zealand,2020-11-29,3
Champion,2020-11-29,23
Chewy,2020-11-29,7
Fatburger,2020-11-29,12
Janie And Jack,2020-11-29,15
Century Theatres,2020-11-30,1
Champion,2020-11-30,43
Chewy,2020-11-30,6
Fatburger,2020-11-30,15
Janie And Jack,2020-11-30,24
Century Theatres,2020-12-01,9
Champion,2020-12-01,105
Chewy,2020-12-01,162
